dateLogged,day,sleepDuration,activeCalories,floors,maxHeartRate,minHeartRate,moderateIntensityMins,restHeartRate,calories,distance,steps,vigourousIntensityMinutes,VO2MAX,weight,beers,virus,predictVirus,score
17-Apr-17,Monday,10.2,1142,7,124,41,125,48,3237,16.7,16066,16,63,78.2,3,N,N,0.00
16-Apr-17,Sunday,8.8,515,0,125,45,0,48,2610,11.9,14175,0,63,77,4,N,N,0.18
15-Apr-17,Saturday,9.9,675,3,127,39,0,49,2770,12,14130,0,63,75.9,0,N,N,0.94
14-Apr-17,Friday,7.9,2482,43,233,42,46,50,4564,29.3,27622,115,63,77.8,3,N,N,0.01
13-Apr-17,Thursday,7.9,201,2,121,37,0,48,2306,6.1,7158,0,63,76.7,4,N,N,0.02
12-Apr-17,Wednesday,7.2,1543,27,172,40,4,45,3660,19.6,17971,66,62,76.7,0,N,N,0.00
11-Apr-17,Tuesday,8.6,532,20,125,40,0,45,2625,11.9,13875,0,62,77.2,0,N,N,0.00
10-Apr-17,Monday,9.6,2175,0,195,40,156,46,4273,11.3,26446,126,61,77.1,0,N,N,0.00
9-Apr-17,Sunday,9.5,400,27,118,38,0,43,2497,11.6,13875,0,61,77.8,3,N,N,0.00
8-Apr-17,Saturday,9.9,1017,21,140,42,16,46,3122,13.2,15662,11,61,77.8,3,N,N,0.00
7-Apr-17,Friday,10.5,174,0,117,43,0,53,2279,5.6,6681,0,61,78.1,1,Y,Y,68.49
6-Apr-17,Thursday,5.5,110,0,109,41,0,56,2220,3.1,3717,0,61,77.2,0,Y,Y,75.77
5-Apr-17,Wednesday,8.1,292,4,144,40,0,55,2390,6.9,8275,0,61,77.2,1,Y,Y,80.05
4-Apr-17,Tuesday,7.1,912,72,170,39,8,47,3010,14.9,15773,44,61,77.2,2,N,N,0.00
3-Apr-17,Monday,7.3,157,4,128,38,0,42,2255,5.4,6540,0,61,77.6,0,N,N,0.00
2-Apr-17,Sunday,9.2,1713,38,132,42,211,52,3811,16.7,15554,4,61,77.2,3,N,N,0.18
1-Apr-17,Saturday,8.4,1717,16,216,41,15,51,3815,20.2,19262,80,61,77.4,4,N,N,0.02
31-Mar-17,Friday,9,325,0,116,36,0,47,2427,8,9510,0,61,78.5,3,N,N,0.09
30-Mar-17,Thursday,8,368,0,152,35,0,45,2483,8.1,8426,0,60,77,0,N,N,0.01
29-Mar-17,Wednesday,7.4,494,27,143,44,4,49,2581,12.1,12051,22,60,77,2,N,N,0.53
28-Mar-17,Tuesday,7.5,1684,18,176,36,3,47,3771,24.1,23861,66,60,77,4,N,N,0.00
